1,Azulejo Decorativo,1 -> 3 -> 4 -> 5 -> 6,Maquina1.2 -> Preparacao,2018/5/2 0:0,2018/5/2 0:7,
2,1,1 -> 3 -> 4 -> 5 -> 6,Maquina1.1 -> Preparacao,2018/5/2 0:0,2018/5/2 0:17,
3,Tijolo,2 -> 4,Maquina1.3 -> Preparacao,2018/5/2 0:0,2018/5/2 0:23,
5,3,2 -> 4,Maquina2.1 -> Moldagem,2018/5/2 0:0,2018/5/2 0:39,
7,Floreira Pintada,1 -> 2 -> 4 -> 5,Maquina1.2 -> Preparacao,2018/5/2 0:0,2018/5/2 0:49,
8,Vaso Simples,1 -> 2 -> 4,Maquina1.1 -> Preparacao,2018/5/2 0:0,2018/5/2 0:57,
4,2,1 -> 2 -> 4,Maquina1.3 -> Preparacao,2018/5/2 0:0,2018/5/2 1:8,
6,Jarra,1 -> 2 -> 4 -> 6,Maquina1.3 -> Preparacao,2018/5/2 0:0,2018/5/2 1:17,
9,1,1 -> 2 -> 4 -> 6,Maquina1.1 -> Preparacao,2018/5/2 0:3,2018/5/2 1:27,
10,Floreira Pintada,1 -> 2 -> 4 -> 5,Maquina1.3 -> Preparacao,2018/5/2 0:7,2018/5/2 1:36,
11,Tijolo,2 -> 4,Maquina1.3 -> Preparacao,2018/5/2 0:7,2018/5/2 1:46,
1,Azulejo Decorativo,1 -> 3 -> 4 -> 5 -> 6,Maquina2.3 -> Moldagem,2018/5/2 0:7,2018/5/2 1:58,
12,1,1 -> 3 -> 4 -> 5 -> 6,Maquina1.1 -> Preparacao,2018/5/2 0:16,2018/5/2 2:7,
2,1,1 -> 3 -> 4 -> 5 -> 6,Maquina3.2 -> Corte,2018/5/2 0:17,2018/5/2 2:16,
13,Azulejo Decorativo,1 -> 3 -> 4 -> 5 -> 6,Maquina1.3 -> Preparacao,2018/5/2 0:20,2018/5/2 2:22,
3,Tijolo,2 -> 4,Maquina2.2 -> Moldagem,2018/5/2 0:23,2018/5/2 2:39,
14,Azulejo Decorativo,1 -> 3 -> 4 -> 5 -> 6,Maquina1.1 -> Preparacao,2018/5/2 0:36,2018/5/2 2:51,
5,3,1 -> 3 -> 4 -> 5 -> 6,Maquina4.2 -> Cozedura,2018/5/2 0:39,2018/5/2 3:47,
15,Vaso Simples,1 -> 2 -> 4,Maquina1.3 -> Preparacao,2018/5/2 0:46,2018/5/2 3:57,
